	intercept	categorical
F159	-2.7712028108349336	-3.4124882482179775
F160	-4.101324534715133	-4.007117518818257
F161	-3.714919704720435	-1.075390478064784
F162	-2.7535760068005253	-3.107290214054315
F163	-3.028069379166706	-1.9498340794752234
F164	-3.536550924557991	-4.479269241540813
F165	-1.3043438269859946	-3.6289843717192856
F166	-3.429666086516413	-2.8414737202052325
F167	-2.4348726926613367	-1.6817763115933848
F168	-3.212695493184591	-3.659423204417701
F169	-1.7903464791759083	-4.105850379888936
F170	-4.37406116320667	-2.58834233986453
F171	-3.137896860524983	-1.6903408963509043
F172	-4.027342415240717	-3.08497214771289
F173	-4.032276803913778	-4.2540391064209935
F174	-3.351678789020012	-2.077110434844379
F175	-2.2654580959494623	-2.971924354235687
F176	-1.8485269181774804	-1.654443419183221
F177	-1.99871797321201	-1.9358855414702065
F178	-1.086989854539516	-4.609695714583563
F179	-3.5989435369648266	-2.967982434234538
F180	-2.921302738411103	-2.5448566567850186
F181	-4.090710443090291	-4.295076247627982
F182	-4.000731927002831	-3.5564505630528123
F183	-2.855306573655747	-4.051533752493212
F184	-3.7345935717368226	-3.2521571000808476
F185	-3.743358070911457	-1.9598080317496356
F186	-3.0658607172714576	-3.8182301551463027
F187	-3.3006229772996925	-1.7921464513917822
F188	-2.5592571606436256	-2.746960186033566
F189	-3.010522984325295	-2.740240756996364
F190	-3.1808878602650417	-2.6607792893636018
F191	-3.097868109651178	-3.350812401843232
F192	-4.213641868303188	-1.9184112356081588
F193	-5.262823137116687	-4.940975963781775
F194	-1.7994934118458907	-3.682693834127723
F195	-4.349614690460796	-3.860683623661635
F196	-2.211748525282122	-2.686707850271037
F197	-3.5866644124346454	-3.88902719794806
F198	-3.950356098794825	-4.153930382082724
F199	-4.390953622665392	-2.326167209230298
